player_id,Full Name,team_name,year,points,totReb,assists,steals,blocks,min,fga,fg%,tpa,tp%,fta,ft%,defReb,offReb,pFouls,turnovers
1046,Trae Young,Atlanta Hawks,2020,25.585365853658537,3.658536585365854,9.329268292682928,0.926829268292683,0.1585365853658536,34.25325203252033,18.390243902439025,43.03713527851459,6.817073170731708,33.452593917710196,8.475609756097562,88.20143884892086,3.097560975609756,0.5609756097560976,1.8780487804878048,4.158536585365853
761,John Collins,Atlanta Hawks,2020,16.642857142857142,7.75,1.2142857142857142,0.5357142857142857,0.8928571428571429,29.81547619047619,11.69047619047619,55.09164969450102,3.2142857142857144,38.88888888888889,3.0595238095238093,82.1011673151751,5.797619047619048,1.9523809523809523,3.119047619047619,1.3333333333333333
743,Bogdan Bogdanovic,Atlanta Hawks,2020,15.523076923076925,3.815384615384616,3.1538461538461537,1.2307692307692308,0.2923076923076923,30.46897435897436,13.076923076923077,44.470588235294116,7.630769230769231,40.12096774193548,0.9692307692307692,85.71428571428572,3.292307692307692,0.5230769230769231,2.353846153846154,1.2923076923076924
1868,De'Andre Hunter,Atlanta Hawks,2020,14.612903225806452,4.548387096774194,1.5806451612903225,0.6774193548387096,0.5161290322580645,29.501612903225805,10.483870967741936,48.0,4.096774193548387,36.22047244094488,3.6774193548387095,83.33333333333334,3.870967741935484,0.6774193548387096,2.5161290322580645,1.3548387096774193
92,Clint Capela,Atlanta Hawks,2020,13.928571428571429,13.547619047619047,0.7976190476190477,0.6666666666666666,1.7857142857142858,30.232936507936508,10.178571428571429,59.53216374269006,0.0,0.0,3.3095238095238093,54.67625899280575,9.166666666666666,4.380952380952381,2.345238095238096,1.119047619047619
181,Danilo Gallinari,Atlanta Hawks,2020,12.95890410958904,4.054794520547945,1.273972602739726,0.5342465753424658,0.1917808219178082,23.723287671232875,9.219178082191782,43.09063893016344,4.849315068493151,39.83050847457626,3.315068493150685,92.97520661157024,3.712328767123288,0.3424657534246575,2.150684931506849,0.821917808219178
980,Kevin Huerter,Atlanta Hawks,2020,11.588888888888889,3.477777777777778,3.355555555555556,1.1,0.3888888888888889,30.61425925925926,10.511111111111113,42.49471458773784,5.544444444444444,35.47094188376753,0.9,76.5432098765432,2.888888888888889,0.5888888888888889,2.455555555555556,1.1444444444444444
1889,Cam Reddish,Atlanta Hawks,2020,10.823529411764708,3.852941176470588,1.3823529411764706,1.2647058823529411,0.3235294117647059,26.01029411764706,9.264705882352942,38.73015873015873,4.323529411764706,30.612244897959183,2.794117647058824,83.15789473684211,3.147058823529412,0.7058823529411765,2.411764705882353,1.3823529411764706
553,Lou Williams,Atlanta Hawks,2020,9.0,1.809523809523809,2.857142857142857,0.4761904761904761,0.0714285714285714,18.615873015873017,7.761904761904762,41.104294478527606,2.0,44.047619047619044,1.9285714285714288,90.12345679012344,1.619047619047619,0.1904761904761904,0.8571428571428571,1.5238095238095235
239,Solomon Hill,Atlanta Hawks,2020,3.763440860215054,2.5698924731182795,0.8602150537634409,0.5698924731182796,0.1290322580645161,18.346236559139783,3.5806451612903225,35.135135135135144,2.591397849462365,31.120331950207476,0.5806451612903226,75.92592592592591,2.075268817204301,0.4946236559139785,1.4838709677419355,0.4731182795698925
492,Tony Snell,Atlanta Hawks,2020,3.735294117647059,1.7205882352941178,0.8970588235294118,0.2205882352941176,0.1764705882352941,15.554901960784314,2.75,48.1283422459893,1.7647058823529411,52.5,0.1617647058823529,100.0,1.4558823529411764,0.2647058823529412,1.1764705882352942,0.3676470588235294
2629,Onyeka Okongwu,Atlanta Hawks,2020,3.68,2.813333333333333,0.2666666666666666,0.3733333333333333,0.6133333333333333,10.22711111111111,2.4,62.77777777777778,0.0533333333333333,0.0,1.04,64.1025641025641,1.7066666666666668,1.106666666666667,1.7066666666666668,0.44
455,Rajon Rondo,Atlanta Hawks,2020,3.5161290322580645,1.870967741935484,3.290322580645161,0.6129032258064516,0.0967741935483871,13.558064516129033,3.6774193548387095,39.473684210526315,1.5483870967741935,37.50000000000001,0.064516129032258,50.0,1.7419354838709675,0.1290322580645161,0.8387096774193549,1.2903225806451613
1063,Brandon Goodwin,Atlanta Hawks,2020,3.219178082191781,0.9726027397260274,1.3972602739726028,0.2465753424657534,0.0,8.856164383561644,3.26027397260274,36.5546218487395,1.4657534246575343,30.8411214953271,0.589041095890411,65.11627906976743,0.8493150684931506,0.1232876712328767,0.5753424657534246,0.5205479452054794
2620,Skylar Mays,Atlanta Hawks,2020,1.611764705882353,0.4588235294117647,0.388235294117647,0.188235294117647,0.0235294117647058,3.4550980392156863,1.2705882352941176,45.37037037037037,0.4823529411764706,34.146341463414615,0.3411764705882353,86.20689655172413,0.3176470588235294,0.1411764705882353,0.2,0.1176470588235294
2607,Nathan Knight,Atlanta Hawks,2020,1.5421686746987953,0.9759036144578314,0.0963855421686747,0.108433734939759,0.144578313253012,3.594779116465864,1.3012048192771084,36.11111111111111,0.4216867469879518,17.14285714285714,0.6867469879518072,77.19298245614036,0.6385542168674698,0.3373493975903614,0.3132530120481928,0.180722891566265
152,Kris Dunn,Atlanta Hawks,2020,0.4230769230769231,0.4230769230769231,0.2692307692307692,0.1538461538461538,0.1538461538461538,3.012179487179487,0.6538461538461539,11.764705882352937,0.1153846153846153,0.0,0.3076923076923077,87.49999999999999,0.4230769230769231,0.0,0.5769230769230769,0.2692307692307692
