,player_id,Full Name,team_name,year,Points,Rebounds,Assists,Steals,Blocks,FGA,FG%,3PA,3P%,FTA,FT%,Def. Rebounds,Off. Rebounds,Fouls,Turnovers
46,437,Taurean Prince,Brooklyn Nets,2020,0.19332501463105986,-0.15946285610169172,-1.344775755107346,0.19399236130883676,0.6224544798385251,-0.31554749853196046,-0.5928760806610751,0.26860761596717364,0.573111620396402,0.35627120894161746,1.0075943158577598,-0.08393625897876707,-1.3033978489612252,-0.10750516220994737,-0.09597915973133267
47,944,Bruce Brown,Brooklyn Nets,2020,-0.15332421939214314,0.6762379129336202,-0.18053721723309477,0.35438157842656476,0.26153041367945357,-0.30271536434412327,1.0324580578219333,-0.4185075809401576,-0.46387081022226606,0.0952230425076041,-0.12437157861448692,0.31848992620284744,0.7499709538695396,0.45253306737384047,-0.2536471297931274
48,1022,Landry Shamet,Brooklyn Nets,2020,-0.15283376407900431,-1.2265946613541998,-0.3791476315554633,-0.27854133723336316,-0.4124658044920071,-0.2088752367722263,-0.680425750665896,0.4760709604272961,0.5626139072836428,-0.18368507517768515,0.45474585836821274,-0.9171515449174559,-1.1095517631913314,-0.32209326292398216,-0.3938193337226377
49,142,Spencer Dinwiddie,Brooklyn Nets,2020,-0.9842106917246637,0.0712917564883263,0.7611513275337451,-0.6275974676111091,-0.22911046621645717,-0.8768038208102438,-0.7007085187901798,0.029121190682996123,-1.087276670271612,0.4161633396678146,0.5373881535599476,0.42577238427943515,-1.0754780302463696,-0.1263629066533175,0.47351343278379665
51,1854,Nic Claxton,Brooklyn Nets,2020,-0.4844908547930831,0.9451046411260214,-0.807002892305847,0.34367954813664836,1.1330004657716795,-1.1396030051386334,1.6558227478794905,-1.501780376765031,-1.087276670271612,0.0071106980869712596,-1.997386721350784,0.18050969878498982,0.5094677080114604,0.22577232237931985,-0.776734956428774
52,286,DeAndre Jordan,Brooklyn Nets,2020,-0.442752690570672,1.3515549043624628,-0.18434398430457144,-1.0057661090870194,0.9044742626947021,-1.5425178816916705,3.7074130868875153,-2.6607658238997955,-2.8328130784097802,-0.22638038861866375,-1.941880702192154,0.5009891822976229,0.6111119139091441,-0.3828098611644079,-0.0008557022874439943
53,329,Timothe Luwawu-Cabarrot,Brooklyn Nets,2020,-0.3453318056053969,-0.5288116460238016,-0.34314048404910885,0.06153314891438292,-0.5473971221003464,-0.7854250193247678,-1.231887427403501,0.25955305019950903,-0.08781630754733791,-0.719253162594494,0.3824338500754405,-1.1686592121634525,-0.5892395469984825,-0.5738031285776715,-0.5860291129287157
54,277,Tyler Johnson,Brooklyn Nets,2020,-0.7068253701741528,-0.7261241050628628,-0.28753163909970425,-0.34177278260460064,-5.467109052115646,-1.5844037993412907,-0.9361865096964997,0.04393314112299573,0.3188498807285803,-1.2123845310900052,0.806873898750393,-1.4863698008136763,-1.561576969525862,-1.6382826254623892,-1.3631026634280103
61,458,Terry Rozier,Charlotte Hornets,2020,0.8102745761699411,-0.4232000228361344,0.529803738779261,0.33091928834913453,-0.10522629146633032,1.3879190911119124,-0.20966647763577473,0.7660777994059124,0.5375734094792634,0.5989342288627351,0.3845565117670089,0.4981603333739842,-0.04126224506696962,-0.024439814978653506,0.5923068669984345
62,227,Gordon Hayward,Charlotte Hornets,2020,0.7124285526106247,0.045794035215736474,0.5065857457849198,0.23345628793114379,-0.23329219003623583,1.176861193733903,0.11999126204879607,0.45176378376306975,0.8245013005463828,0.8389141409917672,0.6357718383120146,0.8945611670331698,0.11519909244413933,-0.10550959758024318,0.7155088721111316
63,2566,LaMelo Ball,Charlotte Hornets,2020,0.6264749394790553,0.4080855612018016,1.316306262728108,0.8154273715589923,-0.02908639374622632,1.0135614639689468,-0.4697448527955484,0.5296859353504173,0.22953149727121652,0.6564369478546513,-0.07192368387065443,0.8293605315445427,0.4548336255019511,0.8441332064587654,1.0860171443482682
64,973,Devonte' Graham,Charlotte Hornets,2020,0.39186523916514243,-1.1190941913636845,1.0756439917248057,0.016046094793011584,-0.8517102530376319,0.8745009339229176,-1.1024841956712117,0.7935702676956758,0.39902165744999757,0.5314428101918212,0.5449932727493706,-0.3209829621399437,-0.5342100874638651,-0.37998138119990604,0.4580432955125985
65,941,Miles Bridges,Charlotte Hornets,2020,0.1467789998979026,0.4371305957724831,-0.10985397087976487,-0.31541900095201475,0.4888776212814691,0.4532168947354583,0.548366845093212,0.43508405499363256,0.6236946604776813,0.11280408742034753,0.7511182273316791,0.8799374191536028,0.5120777454258757,0.4361497092715151,0.4918391497719767
66,1897,P.J. Washington,Charlotte Hornets,2020,0.011901275327659016,0.4766451380207671,-0.007143021308882364,0.24174783890740867,0.7700941119830454,0.606430200429438,-0.3857224600080788,0.44026442501479796,0.4757199827671409,0.317860767757967,-0.16978584891968063,0.8846922301630452,0.6417652354329146,0.8086247524245438,0.6668976759492886
67,571,Cody Zeller,Charlotte Hornets,2020,0.22639739614323243,1.2050629513953182,0.003987162016816778,-0.05255006641935528,0.17059436503883899,-0.3174786302656237,1.2295544546098764,-0.6388402077918953,-1.1963726957802479,0.39922481957796957,-0.16568808911602245,0.5513045403797594,0.9845145159011001,0.5721880179680271,-0.050088527460963345
68,842,Malik Monk,Charlotte Hornets,2020,0.6742957655122542,-0.7137438459379615,0.2995363889766369,-0.37466112358297193,-0.6991092276987031,-0.06974386075900756,-0.39781918146754097,0.3502093651966738,0.681954802230423,-0.1515619729252036,0.4340852845702748,-1.0066235230507894,-0.9415504916521468,-1.5337394851519743,-0.04820781319061722
69,1880,Jalen McDaniels,Charlotte Hornets,2020,-0.10762482190256445,0.2513249712824271,-0.5239435697677948,0.09707537852484419,0.3437783522896791,-0.7858509971796154,0.10848113239040079,-0.0572671880434773,0.36214195434311636,-0.2296240712703381,-0.39233766734709064,-0.4760227755364611,0.028048388924156852,-0.11891254276445896,-0.25994082161168525
71,54,Bismack Biyombo,Charlotte Hornets,2020,-1.1462916978544127,0.8049471115746607,-0.46400764752223167,-1.1445022369405224,0.9378960430517601,-1.3548136299616935,1.6156794251044138,-2.608557714773591,-2.8328130784097802,0.03835540618517129,-2.491631622380664,0.04867999194655722,0.8602728105456249,0.2204614198848225,-0.06908597483929517
72,2242,Caleb Martin,Charlotte Hornets,2020,-0.4983693751854658,0.07146632776952473,-0.05094790923118853,0.5531355325685064,0.05105283417660301,-1.2615550480199085,-1.010096414656121,-0.05308353057422213,-0.5501885446906364,-0.33387372444379154,-0.668283687251006,-0.9293404218347837,-0.456219324702846,-1.2145979934968651,-0.786689096797535
