player_id,Full Name,team_name,year,Points,Rebounds,Assists,Steals,Blocks,Minutes,FGA,FG%,3PA,3P%,FTA,FT%,Def. Rebounds,Off. Rebounds,Fouls,Turnovers
1046,Trae Young,Atlanta Hawks,2020,26.890094110107636,3.845104019557813,9.805015249872422,0.9740930182879792,0.1666211741808385,36.0,18.390243902439025,43.03713527851459,6.817073170731708,33.4525939177102,8.475609756097562,88.20143884892086,3.097560975609756,0.5609756097560976,1.8780487804878048,4.158536585365853
761,John Collins,Atlanta Hawks,2020,20.09502894789379,9.357556398482732,1.4661609103613495,0.6468356957476542,1.0780594929127572,36.0,11.69047619047619,55.09164969450102,3.2142857142857144,38.88888888888889,3.0595238095238093,82.1011673151751,5.797619047619048,1.9523809523809523,3.119047619047619,1.3333333333333333
743,Bogdan Bogdanovic,Atlanta Hawks,2020,18.34097737084382,4.507990473705914,3.7263630931843235,1.4541904753890045,0.3453702379048885,36.0,13.076923076923077,44.47058823529412,7.630769230769231,40.12096774193548,0.9692307692307692,85.71428571428572,3.292307692307692,0.5230769230769231,2.353846153846154,1.2923076923076924
1868,De'Andre Hunter,Atlanta Hawks,2020,17.831720518287685,5.550270624897491,1.928817451205511,0.8266360505166476,0.6298179432507791,36.0,10.483870967741936,48.0,4.096774193548387,36.22047244094488,3.6774193548387095,83.33333333333334,3.870967741935484,0.6774193548387096,2.5161290322580645,1.3548387096774193
92,Clint Capela,Atlanta Hawks,2020,16.585506713743815,16.13188601729954,0.9497683331802014,0.7938362187774817,2.1263470145825405,36.0,10.178571428571429,59.53216374269006,0.0,0.0,3.3095238095238093,54.67625899280575,9.166666666666666,4.380952380952381,2.345238095238096,1.119047619047619
181,Danilo Gallinari,Atlanta Hawks,2020,19.665088347384224,6.153135465989145,1.933248643030373,0.8107171728837049,0.2910266774454325,36.0,9.219178082191782,43.09063893016344,4.849315068493151,39.83050847457626,3.315068493150685,92.97520661157024,3.712328767123288,0.3424657534246575,2.150684931506849,0.821917808219178
980,Kevin Huerter,Atlanta Hawks,2020,13.627636601196489,4.089597561049378,3.9458736851019562,1.2935148835268002,0.4573032416508889,36.0,10.511111111111113,42.49471458773784,5.544444444444444,35.47094188376753,0.9,76.5432098765432,2.888888888888889,0.5888888888888889,2.455555555555556,1.1444444444444444
1889,Cam Reddish,Atlanta Hawks,2020,14.980494148244476,5.332730253858766,1.9132696330638321,1.75043817493074,0.4477865098660033,36.0,9.264705882352942,38.73015873015873,4.323529411764706,30.612244897959183,2.794117647058824,83.15789473684211,3.147058823529412,0.7058823529411765,2.411764705882353,1.3823529411764706
553,Lou Williams,Atlanta Hawks,2020,17.40450204638472,3.4993178717598896,5.525238744884038,0.9208731241473395,0.1381309686221009,36.0,7.761904761904762,41.104294478527606,2.0,44.04761904761904,1.9285714285714288,90.12345679012344,1.619047619047619,0.1904761904761904,0.8571428571428571,1.5238095238095235
239,Solomon Hill,Atlanta Hawks,2020,7.384831789942563,5.042785136560779,1.6879615519868716,1.1182745281913025,0.25319423279803066,36.0,3.5806451612903225,35.135135135135144,2.591397849462365,31.12033195020748,0.5806451612903226,75.92592592592591,2.075268817204301,0.4946236559139785,1.4838709677419355,0.4731182795698925
492,Tony Snell,Atlanta Hawks,2020,8.644901046262447,3.982100088239002,2.0761376528425566,0.5105256523383335,0.4084205218706668,36.0,2.75,48.1283422459893,1.7647058823529411,52.5,0.1617647058823529,100.0,1.4558823529411764,0.2647058823529412,1.1764705882352942,0.3676470588235294
2629,Onyeka Okongwu,Atlanta Hawks,2020,12.953804702098997,9.903089826604667,0.9386815001521011,1.3141541002129415,2.1589674503498326,36.0,2.4,62.77777777777778,0.0533333333333333,0.0,1.04,64.1025641025641,1.7066666666666668,1.106666666666667,1.7066666666666668,0.44
455,Rajon Rondo,Atlanta Hawks,2020,9.336188436830835,4.967880085653105,8.73661670235546,1.6274089935760172,0.2569593147751606,36.0,3.6774193548387095,39.47368421052632,1.5483870967741935,37.50000000000001,0.064516129032258,50.0,1.7419354838709675,0.1290322580645161,0.8387096774193549,1.2903225806451613
882,Jayson Tatum,Boston Celtics,2020,27.02873132857762,7.278603239664209,4.327434674654159,1.1776297639222797,0.5959090371654908,36.0,20.76056338028169,45.45454545454547,7.563380281690141,38.36126629422718,5.788732394366197,87.34793187347933,6.450704225352113,0.7746478873239436,1.971830985915493,2.6619718309859155
75,Jaylen Brown,Boston Celtics,2020,25.566452485627323,6.324801834423484,3.509819609525145,1.3184093964713741,0.5701229822578915,36.0,19.0,48.0820695807315,7.050847457627119,39.42307692307692,4.271186440677966,76.5873015873016,4.779661016949152,1.2372881355932204,2.864406779661017,2.7457627118644066
538,Kemba Walker,Boston Celtics,2020,21.590361445783135,4.554216867469879,5.445783132530121,1.2289156626506024,0.31325301204819284,36.0,15.76595744680851,41.43049932523617,8.170212765957446,35.41666666666667,3.4468085106382977,90.12345679012346,3.638297872340425,0.3829787234042553,1.5957446808510638,2.0851063829787235
177,Evan Fournier,Boston Celtics,2020,15.626666666666667,4.1066666666666665,3.1999999999999997,1.44,0.5333333333333332,36.0,11.181818181818182,43.49593495934959,5.954545454545454,45.0381679389313,1.181818181818182,76.92307692307692,3.0,0.5,2.9545454545454546,1.181818181818182
486,Marcus Smart,Boston Celtics,2020,14.370350034317088,3.775428963623884,6.147426218256691,1.5417982155113243,0.4941660947151681,36.0,10.5,40.13605442176871,5.928571428571429,33.13253012048193,3.3035714285714284,78.37837837837839,2.696428571428572,0.7142857142857143,2.5357142857142856,2.0357142857142856
